Date,pypl,msft,gild
2017-04-24 16:00:00,44.27,67.53,66.25
2017-04-25 16:00:00,44.71,67.92,67.12
2017-04-26 16:00:00,44.41,67.83,68.22
2017-04-27 16:00:00,47.15,68.27,68.58
2017-04-28 16:00:00,47.72,68.46,68.55
2017-05-01 16:00:00,47.54,69.41,68.11
2017-05-02 16:00:00,49.05,69.3,68.59
2017-05-03 16:00:00,49.02,69.08,67.21
2017-05-04 16:00:00,48.91,68.81,68.08
2017-05-05 16:00:00,49.3,69.0,67.8
2017-05-08 16:00:00,49.17,68.94,67.21
2017-05-09 16:00:00,49.22,69.04,67.61
2017-05-10 16:00:00,49.79,69.31,66.92
2017-05-11 16:00:00,49.7,68.46,66.71
2017-05-12 16:00:00,49.37,68.38,66.06
2017-05-15 16:00:00,49.77,68.43,65.95
2017-05-16 16:00:00,50.34,69.41,65.72
2017-05-17 16:00:00,49.05,67.48,64.51
2017-05-18 16:00:00,49.11,67.71,64.43
2017-05-19 16:00:00,49.39,67.69,64.23
2017-05-22 16:00:00,49.77,68.45,64.36
2017-05-23 16:00:00,50.13,68.68,64.69
2017-05-24 16:00:00,51.05,68.77,64.31
2017-05-25 16:00:00,50.93,69.62,64.56
2017-05-26 16:00:00,51.19,69.96,64.5
2017-05-30 16:00:00,51.06,70.41,64.49
2017-05-31 16:00:00,52.21,69.84,64.89
2017-06-01 16:00:00,53.16,70.1,64.62
2017-06-02 16:00:00,53.52,71.76,65.4
2017-06-05 16:00:00,53.8,72.28,65.48
2017-06-06 16:00:00,53.4,72.52,64.85
2017-06-07 16:00:00,53.85,72.39,64.32
2017-06-08 16:00:00,54.39,71.95,64.12
2017-06-09 16:00:00,53.4,70.32,64.7
2017-06-12 16:00:00,52.16,69.78,65.43
2017-06-13 16:00:00,52.06,70.65,65.15
2017-06-14 16:00:00,51.9,70.27,64.99
2017-06-15 16:00:00,52.29,69.9,64.81
2017-06-16 16:00:00,51.84,70.0,64.12
2017-06-19 16:00:00,52.93,70.87,64.82
2017-06-20 16:00:00,52.52,69.91,65.59
2017-06-21 16:00:00,53.54,70.27,67.5
2017-06-22 16:00:00,53.87,70.26,70.48
2017-06-23 16:00:00,54.33,71.21,70.52
2017-06-26 16:00:00,53.74,70.53,71.24
2017-06-27 16:00:00,52.73,69.21,70.65
2017-06-28 16:00:00,54.39,69.8,71.92
2017-06-29 16:00:00,53.42,68.49,70.86
2017-06-30 16:00:00,53.67,68.93,70.78
2017-07-03 16:00:00,52.87,68.17,70.7
2017-07-05 16:00:00,54.61,69.08,70.86
2017-07-06 16:00:00,53.47,68.57,69.48
2017-07-07 16:00:00,53.97,69.46,69.25
2017-07-10 16:00:00,54.94,69.98,69.29
2017-07-11 16:00:00,54.76,69.99,69.35
2017-07-12 16:00:00,56.55,71.15,69.8
2017-07-13 16:00:00,57.9,71.77,70.58
2017-07-14 16:00:00,57.16,72.78,70.57
2017-07-17 16:00:00,57.58,73.35,71.15
2017-07-18 16:00:00,58.96,73.3,71.69
2017-07-19 16:00:00,58.35,73.86,72.72
2017-07-20 16:00:00,59.09,74.22,73.42
2017-07-21 16:00:00,58.67,73.79,73.76
2017-07-24 16:00:00,58.58,73.6,74.39
2017-07-25 16:00:00,58.26,74.19,73.74
2017-07-26 16:00:00,58.79,74.05,74.19
2017-07-27 16:00:00,60.15,73.16,74.96
2017-07-28 16:00:00,59.2,73.04,75.94
2017-07-31 16:00:00,58.55,72.7,76.09
2017-08-01 16:00:00,59.34,72.58,75.7
2017-08-02 16:00:00,59.12,72.26,75.84
2017-08-03 16:00:00,58.42,72.15,74.37
2017-08-04 16:00:00,58.86,72.68,73.16
2017-08-07 16:00:00,59.62,72.4,73.44
2017-08-08 16:00:00,59.48,72.79,73.27
2017-08-09 16:00:00,59.67,72.47,73.9
2017-08-10 16:00:00,58.02,71.41,72.7
2017-08-11 16:00:00,58.04,72.5,72.4
2017-08-14 16:00:00,59.06,73.59,72.81
2017-08-15 16:00:00,59.69,73.22,73.12
2017-08-16 16:00:00,60.29,73.65,73.35
2017-08-17 16:00:00,59.29,72.4,72.34
2017-08-18 16:00:00,59.44,72.49,72.11
2017-08-21 16:00:00,59.4,72.15,72.6
2017-08-22 16:00:00,60.84,73.16,73.34
2017-08-23 16:00:00,60.05,72.72,73.74
2017-08-24 16:00:00,60.0,72.69,74.02
2017-08-25 16:00:00,59.97,72.82,73.79
2017-08-28 16:00:00,60.53,72.83,74.69
2017-08-29 16:00:00,61.01,73.05,75.74
2017-08-30 16:00:00,61.77,74.01,81.23
2017-08-31 16:00:00,61.68,74.77,83.71
2017-09-01 16:00:00,61.46,73.94,83.75
2017-09-05 16:00:00,61.27,73.61,82.56
2017-09-06 16:00:00,61.24,73.4,82.95
2017-09-07 16:00:00,62.0,74.34,85.47
2017-09-08 16:00:00,61.13,73.98,85.1
2017-09-11 16:00:00,62.64,74.76,84.52
2017-09-12 16:00:00,62.56,74.68,84.51
2017-09-13 16:00:00,62.04,75.21,83.68
2017-09-14 16:00:00,62.24,74.77,82.29
2017-09-15 16:00:00,62.5,75.31,82.36
2017-09-18 16:00:00,62.92,75.16,82.97
2017-09-19 16:00:00,63.83,75.44,82.29
2017-09-20 16:00:00,64.74,74.94,82.64
2017-09-21 16:00:00,64.63,74.21,82.62
2017-09-22 16:00:00,65.08,74.41,83.27
2017-09-25 16:00:00,63.5,73.26,83.61
2017-09-26 16:00:00,62.94,73.26,83.76
2017-09-27 16:00:00,63.33,73.85,83.86
2017-09-28 16:00:00,63.93,73.87,80.91
2017-09-29 16:00:00,64.03,74.49,81.02
2017-10-02 16:00:00,64.18,74.61,83.52
2017-10-03 16:00:00,64.22,74.26,83.19
2017-10-04 16:00:00,64.01,74.69,82.42
2017-10-05 16:00:00,65.82,75.97,83.51
2017-10-06 16:00:00,66.05,76.0,82.14
2017-10-09 16:00:00,66.23,76.29,81.98
2017-10-10 16:00:00,66.04,76.29,83.04
2017-10-11 16:00:00,67.78,76.42,82.57
2017-10-12 16:00:00,68.86,77.12,81.3
2017-10-13 16:00:00,68.66,77.49,81.17
2017-10-16 16:00:00,67.31,77.65,79.95
2017-10-17 16:00:00,66.67,77.59,80.24
2017-10-18 16:00:00,67.26,77.61,80.01
2017-10-19 16:00:00,67.25,77.91,81.59
2017-10-20 16:00:00,70.97,78.81,81.21
2017-10-23 16:00:00,69.8,78.83,80.17
2017-10-24 16:00:00,70.21,78.86,80.1
2017-10-25 16:00:00,71.02,78.63,79.89
2017-10-26 16:00:00,71.34,78.76,77.88
2017-10-27 16:00:00,71.06,83.81,77.07
2017-10-30 16:00:00,71.15,83.89,75.99
2017-10-31 16:00:00,72.56,83.18,74.96
2017-11-01 16:00:00,72.38,83.18,74.83
2017-11-02 16:00:00,72.25,84.05,73.81
2017-11-03 16:00:00,73.39,84.14,73.46
